;;;;;;;
;;;;;;;
떟 X;;;떟 Y;;;떟 Z;
0,02999959;-10211,5166;;0,02999959;6393,421875;;0,02999959;-3206,395752
0,039999958;-6416,783203;;0,039999958;2912,727783;;0,039999958;-5408,436035
0,049999818;-642,8742676;;0,049999818;-537,890686;;0,049999818;-5601,087402
0,059999682;-1929,086792;;0,059999682;2300,999268;;0,059999682;-2089,915283
0,069999546;-3346,309815;;0,069999546;5544,525391;;0,069999546;3489,630859
0,079999916;-2982,723877;;0,079999916;4870,460449;;0,079999916;4211,784668
0,089999773;-638,0698853;;0,089999773;2740,427246;;0,089999773;-1156,868897
0,099999636;-169,1958008;;0,099999636;2993,925537;;0,099999636;-3763,58374
0,1099995;-4190,040039;;0,1099995;5262,096191;;0,1099995;-220,3035431
0,119999871;-7143,460449;;0,119999871;8232,382813;;0,119999871;1358,04541
0,129999727;-6372,798828;;0,129999727;12640,3584;;0,129999727;986,484436
0,139999598;-6417,338867;;0,139999598;17027,63281;;0,139999598;8570,302734
0,149999961;-8309,742188;;0,149999961;16236,70996;;0,149999961;12298,09375
0,159999833;-10312,32422;;0,159999833;8364,057617;;0,159999833;-11953,0625
0,169999689;-11707,64258;;0,169999689;-378,594635;;0,169999689;-40712,49609
0,179999545;-8426,924805;;0,179999545;-1429,139404;;0,179999545;-24722,66211
0,189999923;1135,84436;;0,189999923;6151,830566;;0,189999923;20261,74805
0,199999779;7948,223633;;0,199999779;14488,35645;;0,199999779;37988,38672
0,209999651;3423,937988;;0,209999651;16770,20313;;0,209999651;23164,19727
0,220000014;-8408,117188;;0,220000014;14776,91699;;0,220000014;6621,974121
0,22999987;-17744,92188;;0,22999987;14243,26563;;0,22999987;252,9771729
0,239999741;-18893,52734;;0,239999741;15880,12891;;0,239999741;-1893,288574
0,249999598;-12237,64941;;0,249999598;15289,22461;;0,249999598;-11262,65527
0,259999961;-4051,35669;;0,259999961;10601,57617;;0,259999961;-28543,98242
0,269999832;172,5252838;;0,269999832;5147,21875;;0,269999832;-27831,91797
0,279999703;2239,945068;;0,279999703;3752,821289;;0,279999703;4625,049805
0,289999545;2954,786133;;0,289999545;8139,132813;;0,289999545;34916,62891
0,299999923;-2122,851563;;0,299999923;13768,96582;;0,299999923;30065,86133
0,309999794;-11089,41406;;0,309999794;15628,73633;;0,309999794;4429,40918
0,319999665;-15159,07617;;0,319999665;15936,73535;;0,319999665;-12721,54981
0,329999506;-10922,58203;;0,329999506;17048,76563;;0,329999506;-14397,20215
0,339999884;-2406,882568;;0,339999884;14887,57813;;0,339999884;-6986,180176
0,349999756;3989,28833;;0,349999756;8530,614258;;0,349999756;3707,18042
0,359999597;3844,768311;;0,359999597;3883,746582;;0,359999597;9807,426758
0,369999468;-2302,368408;;0,369999468;3429,098633;;0,369999468;2097,447022
0,379999846;-10388,11816;;0,379999846;4079,419434;;0,379999846;-12393,4043
0,389999688;-14907,00684;;0,389999688;5179,709473;;0,389999688;-9166,430664
0,399999559;-12474,1543;;0,399999559;8647,578125;;0,399999559;10817,76953
0,40999943;-5891,964356;;0,40999943;11212,12891;;0,40999943;16025,38574
0,419999808;-81,62602997;;0,419999808;8794,720703;;0,419999808;4024,737549
0,42999965;2309,16626;;0,42999965;7913,760742;;0,42999965;-142,8414002
0,439999521;-418,8912964;;0,439999521;15518,47266;;0,439999521;2650,306397
0,449999392;-6659,475586;;0,449999392;23493,75;;0,449999392;-1330,464111
0,45999974;-10561,89453;;0,45999974;21016,63281;;0,45999974;-7863,790527
0,469999611;-9937,887695;;0,469999611;11506,88281;;0,469999611;-8422,643555
0,479999483;-9130,930664;;0,479999483;4470,670898;;0,479999483;523,8671265
0,489999354;-10375,87695;;0,489999354;2000,59729;;0,489999354;8917,74707
0,499999702;-9895,869141;;0,499999702;943,7310791;;0,499999702;-8174,180664
0,509999573;-5393,965332;;0,509999573;-171,0581055;;0,509999573;-37132,71484
0,519999444;120,2731934;;0,519999444;475,0915527;;0,519999444;-24618,25586
0,529999793;2980,342041;;0,529999793;5210,583496;;0,529999793;23951,72266
0,539999664;1063,584351;;0,539999664;11031,5957;;0,539999664;44945,125
0,549999535;-4799,146484;;0,549999535;11276,30566;;0,549999535;23925,25195
0,559999406;-8421,970703;;0,559999406;6909,628418;;0,559999406;-2141,561523
0,569999754;-5659,065918;;0,569999754;5836,583984;;0,569999754;-15755,58106
0,579999626;-1555,473023;;0,579999626;8772,407227;;0,579999626;-20610,63672
0,589999497;-1766,967773;;0,589999497;8513,220703;;0,589999497;-15957,82422
0,599999368;-5171,498535;;0,599999368;3636,320557;;0,599999368;-255,1808472
0,609999716;-8989,378906;;0,609999716;523,4873657;;0,609999716;17463,93359
